day,value
2016/11/10,0.5632
2016/11/11,0.5646
2016/11/12,0.5438
2016/11/13,0.5393
2016/11/14,0.5419
2016/11/15,0.5498
2016/11/16,0.5923
2016/11/17,0.5858
2016/11/18,0.5989
2016/11/19,0.5994
2016/11/20,0.5622
2016/11/21,0.5722
2016/11/22,0.5878
2016/11/23,0.5744
2016/11/24,0.565
2016/11/25,0.5648
2016/11/26,0.554
2016/11/27,0.5441
2016/11/28,0.5478
2016/11/29,0.5454
2016/11/30,0.5587
2016/12/01,0.5723
2016/12/02,0.5974
2016/12/03,0.5849
2016/12/04,0.5845
2016/12/05,0.5605
2016/12/06,0.5675
2016/12/07,0.5726
2016/12/08,0.577
2016/12/09,0.576
2016/12/10,0.5782
2016/12/11,0.5682
2016/12/12,0.5806
2016/12/13,0.5777
2016/12/14,0.572
2016/12/15,0.5693
2016/12/16,0.5755
2016/12/17,0.5843
2016/12/18,0.5814
2016/12/19,0.5816
2016/12/20,0.5936
2016/12/21,0.6318
2016/12/22,0.6801
2016/12/23,0.7713
2016/12/24,0.7261
2016/12/25,0.7274
2016/12/26,0.7378
2016/12/27,0.7783
2016/12/28,0.857
2016/12/29,0.8443
2016/12/30,0.8227
2016/12/31,0.8293
2017/01/01,0.8808
2017/01/02,0.9154
2017/01/03,0.9416
2017/01/04,1.1184
2017/01/05,0.8555
2017/01/06,0.6947
2017/01/07,0.7016
2017/01/08,0.7112
2017/01/09,0.6988
2017/01/10,0.7023
2017/01/11,0.5251
2017/01/12,0.5439
2017/01/13,0.5767
2017/01/14,0.5656
2017/01/15,0.5694
2017/01/16,0.5765
2017/01/17,0.6846
2017/01/18,0.6376
2017/01/19,0.6692
2017/01/20,0.6589
2017/01/21,0.6987
2017/01/22,0.6949
2017/01/23,0.6925
2017/01/24,0.6413
2017/01/25,0.6501
2017/01/26,0.6799
2017/01/27,0.6817
2017/01/28,0.6821
2017/01/29,0.6707
2017/01/30,0.6783
2017/01/31,0.7468
2017/02/01,0.7723
2017/02/02,0.8037
2017/02/03,0.8116
2017/02/04,0.8375
2017/02/05,0.8074
2017/02/06,0.8161
2017/02/07,0.8559
2017/02/08,0.8584
2017/02/09,0.7399
2017/02/10,0.7526
2017/02/11,0.7782
2017/02/12,0.7591
2017/02/13,0.7494
2017/02/14,0.7674
2017/02/15,0.7624
2017/02/16,0.7986
2017/02/17,0.8285
2017/02/18,0.8271
2017/02/19,0.815
2017/02/20,0.8553
2017/02/21,0.9204
2017/02/22,0.9122
2017/02/23,1.0108
2017/02/24,0.9972
2017/02/25,0.9397
2017/02/26,0.9862
2017/02/27,1.0016
2017/02/28,0.9914
2017/03/01,1.0483
2017/03/02,1.1017
2017/03/03,1.1432
2017/03/04,1.1003
2017/03/05,1.1065
2017/03/06,1.1082
2017/03/07,1.0209
2017/03/08,0.8826
2017/03/09,0.9424
2017/03/10,0.7995
2017/03/11,0.9169
2017/03/12,0.9894
2017/03/13,1.0041
2017/03/14,1.0036
2017/03/15,1.0168
2017/03/16,0.946
2017/03/17,0.7327
2017/03/18,0.5851
2017/03/19,0.6591
2017/03/20,0.6724
2017/03/21,0.7711
2017/03/22,0.6703
2017/03/23,0.6536
2017/03/24,0.543
2017/03/25,0.5702
2017/03/26,0.5552
2017/03/27,0.6594
2017/03/28,0.6591
2017/03/29,0.6485
2017/03/30,0.6367
2017/03/31,0.6924
2017/04/01,0.698
2017/04/02,0.7111
2017/04/03,0.7617
2017/04/04,0.7594
2017/04/05,0.7448
2017/04/06,0.824
2017/04/07,0.8136
2017/04/08,0.7991
2017/04/09,0.8021
2017/04/10,0.8287
2017/04/11,0.8462
2017/04/12,0.8302
2017/04/13,0.7672
2017/04/14,0.7755
2017/04/15,0.767
2017/04/16,0.7707
2017/04/17,0.7911
2017/04/18,0.8032
2017/04/19,0.8096
2017/04/20,0.8426
2017/04/21,0.8394
2017/04/22,0.8277
2017/04/23,0.8208
2017/04/24,0.819
2017/04/25,0.8317
2017/04/26,0.8591
2017/04/27,0.9136
2017/04/28,0.8946
2017/04/29,0.8984
2017/04/30,0.9234
2017/05/01,0.9993
2017/05/02,1.0416
2017/05/03,1.0987
2017/05/04,1.1119
2017/05/05,1.1149
2017/05/06,1.1701
2017/05/07,1.1778
2017/05/08,1.2861
2017/05/09,1.3838
2017/05/10,1.4517
2017/05/11,1.5447
2017/05/12,1.3566
2017/05/13,1.4292
2017/05/14,1.4457
2017/05/15,1.3224
2017/05/16,1.3453
2017/05/17,1.4773
2017/05/18,1.6086
2017/05/19,1.7415
2017/05/20,1.855
2017/05/21,1.8609
2017/05/22,1.9481
2017/05/23,2.2835
2017/05/24,2.5825
